,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
23700,23701,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow;Interactive tutorial;Programming Games;Other (Please specify):",,8,3,"Developer, back-end",100 to 499 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,India,INR	Indian rupee,3000000.0,Elixir;HTML/CSS;PHP;Python;SQL;TypeScript,Elixir;Python;Rust;SQL;Zig,MySQL;PostgreSQL,Cassandra;MySQL;PostgreSQL,Amazon Web Services (AWS);Fly.io;Google Cloud,Amazon Web Services (AWS);Fly.io;Google Cloud,Express;FastAPI;Phoenix,Express;Phoenix,,,Cargo;Docker;Homebrew;npm,Cargo;Docker;Homebrew,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,MacOS,MacOS,Jira,GitHub Discussions;Linear,Google Meet;Slack;Zoom,Slack;Zoom,ChatGPT,ChatGPT,GitHub Copilot,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration,Somewhat trust,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code,Project planning,,,,,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code,Yes,People manager,3.0,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,None of these,Higher Education,Appropriate in length,Easy,36351.0
23741,23742,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Stack Overflow,,10,6,"Developer, full-stack","5,000 to 9,999 employees",I have little or no influence,,,India,INR	Indian rupee,2500000.0,Bash/Shell (all shells);Java;Python;SQL,Python,MongoDB;Oracle,MongoDB,Amazon Web Services (AWS);VMware,,Node.js,Node.js;React,,,,,Eclipse;IntelliJ IDEA;Notepad++;Visual Studio;Visual Studio Code,Eclipse;IntelliJ IDEA;Notepad++;Visual Studio;Visual Studio Code,MacOS;Red Hat;Ubuntu;Windows,MacOS;Red Hat,,,,,ChatGPT,ChatGPT,,,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,,"No, but I plan to soon",Indifferent,,Somewhat distrust,,,,,,,,,Yes,Individual contributor,6.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,Over 120 minutes a day,,"Information Services, IT, Software Development, or other Technology",Too long,Neither easy nor difficult,30292.0
24272,24273,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media,,,12,12,"Developer, QA or test","5,000 to 9,999 employees",I have little or no influence,,Start a free trial,India,INR	Indian rupee,4000000.0,Bash/Shell (all shells);C;Java;Perl;Python;R;SQL,Bash/Shell (all shells);Go;Kotlin;Python;Rust;Scala,Couchbase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Microsoft Azure,Microsoft Azure,Flask;Spring Boot,Django;FastAPI;Flask;Spring Boot,NumPy;Pandas;Scikit-Learn;Spring Framework,Apache Kafka;RabbitMQ;Spring Framework,Ant;APT;Docker;Kubernetes;Make;Maven (build tool);Pip,APT;Dagger;Docker;Kubernetes;Make;Maven (build tool);Pip;Podman,IPython;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio Code,Goland;IPython;Notepad++;PyCharm;Vim;Visual Studio Code,Fedora;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Fedora;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Azure Devops;Confluence;Jira,Azure Devops;Confluence;Jira,Microsoft Teams;Skype,Discord;Microsoft Teams,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Highly trust,Writing code;Documenting code;Debugging and getting help,Writing code;Documenting code;Debugging and getting help,,Writing code;Documenting code;Debugging and getting help,,,,Writing code;Documenting code;Debugging and getting help,Yes,Individual contributor,12.0,Agree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Never,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,48468.0
24331,24332,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow",,6,Less than 1 year,"Developer, full-stack","10,000 or more employees",I have little or no influence,,Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,2700000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,,Dynamodb,Cockroachdb,Amazon Web Services (AWS);Firebase;Vercel,,Express;Next.js;Node.js;React,,Apache Spark;Hadoop;React Native,,npm;Pip,,Android Studio;DataGrip;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,,MacOS,,,,Slack,,ChatGPT,ChatGPT,,,Stack Overflow,A few times per week,Yes,A few times per week,Neutral,,Yes,Favorable,Increase productivity,Neither trust nor distrust,Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code,Project planning,,,,,Writing code,Yes,Individual contributor,1.0,Agree,Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Microservices;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Appropriate in length,Easy,32716.0
24759,24760,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Stack Overflow,,5,1,"Developer, full-stack",I don’t know,I have little or no influence,,Start a free trial,India,INR	Indian rupee,3000000.0,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;TypeScript,C++;Go,Dynamodb;MySQL,Firebase Realtime Database;MongoDB,Amazon Web Services (AWS);Firebase,,Flask;Node.js;React;Spring Boot,,Flutter;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,,APT;Dagger;Gradle;Pip,,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio,,MacOS;Ubuntu;Windows,,,,Discord;Google Chat;Google Meet;Slack;Whatsapp,,ChatGPT,Bing AI;ChatGPT;Google Bard AI;WolframAlpha,GitHub Copilot,AWS CodeWhisperer;Whispr AI,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",,"No, but I plan to soon",Very favorable,,Somewhat trust,,,,,,,,,Yes,Individual contributor,5.0,Disagree,,,,,,,,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;AI-assisted technology tool(s),Retail and Consumer Services,Too long,Easy,36351.0
24764,24765,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum);Other (please specify):",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Stack Overflow,,11,9,"Developer, full-stack","5,000 to 9,999 employees",I have some influence,Given a list,Start a free trial;Ask developers I know/work with,India,INR	Indian rupee,2700000.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;Rust;SQL,Go;Rust;TypeScript,MariaDB;SQLite,Cassandra;Elasticsearch;PostgreSQL,Microsoft Azure,"Linode, now Akamai",Django;Flask;jQuery;Node.js;React;Vue.js,Blazor;Deno;Gatsby,Electron;Qt;Quarkus;React Native,Flutter;Tauri,Catch2;CMake;Docker;Make;MSBuild;MSVC;npm;Pip;Podman;SCons;Wasmer;Yarn,Cargo;Wasmer,Nano;Notepad++;Vim;Visual Studio;Visual Studio Code,Fleet,Debian;Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),,Azure Devops;Confluence;Doxygen;Jira;Miro,,Microsoft Teams;Whatsapp,,,,GitHub Copilot,AWS CodeWhisperer,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Searching for relevant questions that have already been asked would be great using AI,"No, but I plan to soon",Favorable,,Highly distrust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,32716.0
25553,25554,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Books;Written-based Online Courses;Written Tutorials;Stack Overflow,,24,19,"Developer, back-end",100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,India,INR	Indian rupee,4860000.0,JavaScript;Python;Rust,Python;Rust,BigQuery;Cockroachdb;Couchbase;MySQL;PostgreSQL,BigQuery;Cockroachdb;PostgreSQL,"Amazon Web Services (AWS);Google Cloud;Linode, now Akamai;Microsoft Azure","Google Cloud;Linode, now Akamai",Django;FastAPI;Flask;Node.js;Svelte,FastAPI;Flask;Node.js;Svelte,Apache Kafka;Tauri,Apache Kafka;Tauri,Cargo;CMake;Docker;GNU GCC;Gradle;Kubernetes;Make,Cargo;CMake;Docker;GNU GCC;Kubernetes;Make,Emacs;Sublime Text;Vim;Visual Studio Code,Emacs;Sublime Text;Vim;Visual Studio Code,Arch;Ubuntu,Arch;Ubuntu,,,Microsoft Teams;Slack;Whatsapp,Microsoft Teams;Slack;Whatsapp,,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",AI usage is good.,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,19.0,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,60-120 minutes a day,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Too long,Difficult,58888.0
27168,27169,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written Tutorials;Stack Overflow;Certification videos,edX;Udemy;Pluralsight;Coursera,8,5,DevOps specialist,"10,000 or more employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,India,INR	Indian rupee,3700000.0,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;PowerShell;Python;TypeScript,Ada;Apex;APL;Assembly;C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Flow;Fortran;GDScript;Haskell;HTML/CSS;Julia;Kotlin;Lisp;Lua;MATLAB;Nim;Objective-C;OCaml;Perl;PHP;Prolog;R;Raku;Ruby;Rust;SAS;Scala;Solidity;SQL;Swift;VBA;Visual Basic (.Net);Zig,Dynamodb;PostgreSQL,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Datomic;DuckDB;Elasticsearch;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware,"Cloudflare;Colocation;Digital Ocean;Firebase;Fly.io;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Netlify;OpenShift;OpenStack;OVH;Render;Scaleway;Vercel;Vultr",Angular;AngularJS;Django;Express;Flask;Next.js;Node.js;React,ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;Deno;Drupal;Elm;FastAPI;Fastify;Gatsby;jQuery;Laravel;Lit;NestJS;Nuxt.js;Phoenix;Play Framework;Qwik;Remix;Ruby on Rails;Solid.js;Spring Boot;Svelte;Symfony;Vue.js;WordPress,NumPy;Pandas;React Native;Spring Framework;Torch/PyTorch,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;Apache Spark;Capacitor;Cordova;CUDA;Electron;Flutter;GTK;Hadoop;Hugging Face Transformers;Ionic;JAX;Keras;Ktor;MFC;Micronaut;Opencv;OpenGL;Qt;Quarkus;RabbitMQ;Scikit-Learn;SwiftUI;Tauri;TensorFlow;Tidyverse;Uno Platform;Xamarin,Ansible;Chocolatey;Docker;Google Test;Gradle;Homebrew;Kubernetes;Make;npm;Pip;Terraform,Ant;APT;bandit;Boost.Test;build2;Bun;Cargo;Catch2;Chef;CMake;Composer;cppunit;CUTE;Dagger;doctest;ELFspy;GNU GCC;Godot;Kubernetes;lest;liblittletest;LLVM's Clang;Maven (build tool);Meson;MSBuild;MSVC;Ninja;Nix;NuGet;Pacman;Pip;pnpm;Podman;Pulumi;Puppet;QMake;SCons;snitch;Terraform;tunit;Unity 3D;Unreal Engine;Visual Studio Solution;Vite;Wasmer;Webpack;Yarn,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,Android Studio;Atom;BBEdit;Eclipse;Emacs;Fleet;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,Android;ChromeOS;iOS;MacOS,ChromeOS;Debian;Fedora;iOS;MacOS;Other Linux-based;Red Hat;Windows;Windows Subsystem for Linux (WSL),Azure Devops;Confluence;Jira,Azure Devops;Confluence;GitHub Discussions;Jira;Microsoft Planner;Stack Overflow for Teams,Cisco Webex Teams;Google Chat;Google Meet;Slack;Whatsapp;Zoom,Cisco Webex Teams;Discord;Google Chat;Google Meet;Skype;Zoom,ChatGPT;Google Bard AI,ChatGPT,AWS CodeWhisperer;GitHub Copilot,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",sometimes it can suggest auto completion of questions and give the possible answers for our questions,Yes,Very favorable,Increase productivity;Speed up learning,Somewhat trust,Learning about a codebase;Documenting code;Testing code;Deployment and monitoring,Writing code;Debugging and getting help,Project planning;Committing and reviewing code;Collaborating with teammates ,Writing code;Debugging and getting help,,,,,Yes,Individual contributor,6.0,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Never,3-5 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Appropriate in length,Easy,44832.0
27245,27246,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow;Interactive tutorial",Codecademy;Pluralsight,15,6,"Developer, back-end","10,000 or more employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,India,INR	Indian rupee,6500000.0,C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript,C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript,SQLite,SQLite,,,Angular;ASP.NET;Django;Express;Flask;Node.js;React;Vue.js,ASP.NET;Django;Express;Node.js;React;Ruby on Rails;Vue.js,Electron;Pandas,Electron;NumPy;Pandas,Google Test;Gradle;npm;Pip;Vite;Webpack,Google Test;Gradle;npm;Pip,Android Studio;IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Android Studio;IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Android;Fedora;iOS;MacOS;Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Android;ChromeOS,Markdown File,Azure Devops;Markdown File,Google Chat;Google Meet;Telegram;Whatsapp,Google Chat;Google Meet;Telegram;Whatsapp,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat","When the answer success rate of AI tools become like ~90% +, or when a definite ""No we can't solve this"" answer is available, it's an amazing idea to pursue.",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code,Writing code,Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,,Writing code,,,Yes,Individual contributor,6.0,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,3-5 times a week,3-5 times a week,Never,Over 120 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Too long,Easy,78760.0
27543,27544,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos",Coursera,8,Less than 1 year,Data scientist or machine learning specialist,"10,000 or more employees",I have little or no influence,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Other (please specify):,India,INR	Indian rupee,2000000.0,Bash/Shell (all shells);C;Haskell;Julia;Lua;Python;Rust,Elixir;Erlang;Haskell;Lisp;Rust;SQL,,,,,Express;Node.js;React,,NumPy;Opencv;Scikit-Learn;Torch/PyTorch,Electron;NumPy;Opencv;RabbitMQ;Torch/PyTorch,Cargo;Docker;GNU GCC;Nix;Pacman;Pip,Cargo;Docker;Kubernetes;Nix;Podman,Emacs;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Emacs;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Other (Please Specify):,Other (Please Specify):,GitHub Discussions;Markdown File;Notion,GitHub Discussions,Discord;Google Meet;Whatsapp;Zoom,Discord;Google Meet;Whatsapp;Wickr,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not really",,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,Financial Services,Appropriate in length,Neither easy nor difficult,24234.0
29132,29133,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy,8,4,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,4500000.0,Go;JavaScript;Python;Rust;SQL;TypeScript,Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Cloud Firestore;MongoDB;PostgreSQL;Redis,Cloud Firestore;Cosmos DB;MongoDB;PostgreSQL;Redis,Firebase;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Firebase;Google Cloud,Express;FastAPI;Node.js;React,Express;FastAPI;Next.js;React;Remix;Spring Boot,,,bandit;Cargo;Docker;Pip,Cargo;Docker;Kubernetes;Vite;Wasmer,IPython;Visual Studio Code,IPython;Visual Studio Code,MacOS,MacOS,GitHub Discussions;Notion,GitHub Discussions;Notion,Google Meet;Signal;Slack;Whatsapp,Google Meet;Signal;Slack;Whatsapp,Bing AI;ChatGPT,ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really","Using AI to suggest better titles is fine, but I don't want AI generated answers.",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,Learning about a codebase;Committing and reviewing code,Project planning;Writing code;Documenting code;Debugging and getting help,Testing code;Deployment and monitoring;Collaborating with teammates ,,Documenting code;Debugging and getting help,,,Project planning;Writing code,Yes,Individual contributor,4.0,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,Never,Less than 15 minutes a day,30-60 minutes a day,Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,54526.0
29394,29395,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Stack Overflow,,12,6,Engineering manager,100 to 499 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with,India,INR	Indian rupee,3000000.0,Bash/Shell (all shells);Python,Bash/Shell (all shells);Python,,,Amazon Web Services (AWS),Amazon Web Services (AWS),,,Pandas;Scikit-Learn,Pandas;Scikit-Learn,Docker,Docker,Jupyter Notebook/JupyterLab;Visual Studio Code,Jupyter Notebook/JupyterLab;Visual Studio Code,MacOS,MacOS,Confluence,Confluence;GitHub Discussions;Stack Overflow for Teams,Google Meet;Slack;Zoom,Google Meet;Slack,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really","Help users structure their questions/responses better, add summaries for long questions, improve the list of related questions","No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,Yes,People manager,6.0,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,1-2 times a week,10+ times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,36351.0
